goal	rule	score
p4(X3, X7)	p4(a51, a7)	1
p4(X1, X0)	p4(a46, a33)	1
p4(X0, X9)	p4(a49, a95)	1
p3(X2, X0)	p3(a45, a93)	1
p4(X0, a88)	p4(a55, X0) :- p3(X0, X9)	1
p4(X6, X3)	p4(a74, a1)	1
p4(X0, X4)	p4(a0, a61)	1
p7(X6)	p7(a63)	1
p4(X7, X5)	p4(a36, a52)	1
p4(X8, X3)	p4(a94, a57)	1
p3(a17, X0)	p3(a17, a82)	1
p4(X7, X5)	p4(a12, a26)	1
p0(X8)	p0(a72)	1
p9(X0, a24)	p9(a1, a24)	1
p3(X0, X8)	p3(a48, a11)	1
p4(X0, X8)	p4(a74, a1)	1
p0(X1)	p0(a40)	1
p7(X7)	p7(a12)	1
p0(X6)	p0(a16)	1
p6(X2, X8, X1, X0)	p6(a24, a60, a74, a92)	1
p0(X1)	p0(a59)	1
p6(X2, X3, X8, X0)	p6(a64, a81, a65, a8)	1
p3(X2, X0)	p3(a20, a22)	1
p0(X0)	p0(a13)	1
p3(X0, X3)	p3(a12, a17)	1
p3(X0, X8)	p3(a88, a22)	1
p3(X9, X0)	p3(a33, a33)	1
p0(X0)	p0(a55)	1
p4(X5, X6)	p4(a12, a26)	1
p3(X0, X1)	p3(a10, a1)	1
p4(X0, X8)	p4(a0, a1)	1
p0(X3)	p0(a23)	1
p3(X7, X0)	p3(a0, a22)	1
p3(X0, X1)	p3(a16, a30)	1
p3(X0, X1)	p3(a90, a16)	1
p3(X9, X0)	p3(a17, a82)	1
p7(X6)	p7(a22)	1
p3(X1, X0)	p3(a33, a19)	1
p0(X8)	p0(a43)	1
p0(X7)	p0(a49)	1
p3(X4, X0)	p3(a22, a15)	1
p6(X0, a16, X1, X2)	p6(a15, a16, a28, a1)	1
p5(X1, X0)	p5(a26, a90)	1
p3(X2, X0)	p3(a17, a82)	1
p4(X3, X7)	p4(a74, a1)	1
p0(X0)	p0(a49)	1
p7(X1)	p7(a73)	1
p4(X0, X7)	p4(a26, a47)	1
p8(X0)	p8(a19)	1
p3(X0, X7)	p3(a0, a0)	1
p4(X7, X5)	p4(a46, a33)	1
p4(X0, X7)	p4(a16, X5) :- p5(a10, X5)	1
p4(X0, X2)	p4(a74, a1)	1
p3(X0, X7)	p3(a15, a14)	1
p3(a88, X0)	p3(a88, a22)	1
p4(X3, X7)	p4(a25, a32)	1
p4(X6, X9)	p4(a10, a11)	1
p5(a10, X3)	p5(a10, a2)	1
p6(X2, X3, X8, X0)	p6(a22, a0, a34, a87)	1
p3(X0, X8)	p3(a22, a5)	1
p4(X0, X2)	p4(a25, a32)	1
p0(X7)	p0(a57)	1
p4(X2, X4)	p4(a36, a52)	1
p4(a55, X9)	p4(a55, X0) :- p3(X0, X9)	1
p3(X1, X0)	p3(a90, a16)	1
p3(X5, X0)	p3(a20, a39)	1
p5(X1, X0)	p5(a2, a0)	1
p5(a10, X0)	p5(a10, a4)	1
p4(X6, X3)	p4(a2, a13)	1
p0(X0)	p0(a57)	1
p4(X0, X8)	p4(a57, a99)	1
p4(X0, a1)	p4(a0, a1)	1
p4(X0, X8)	p4(a18, a48)	1
p0(X1)	p0(a13)	1
p3(X0, X3)	p3(a20, a22)	1
p4(X0, X8)	p4(a64, a96)	1
p0(X1)	p0(a55)	1
p3(X4, X0)	p3(a21, a79)	1
p3(X5, X0)	p3(a95, a11)	1
p3(a41, X0)	p3(a41, a45)	1
p3(X0, X7)	p3(a1, a18)	1
p0(X8)	p0(a11)	1
p4(X0, X4)	p4(a20, a47)	1
p4(X8, X2)	p4(a0, a1)	1
p4(X0, X4)	p4(a47, a35)	1
p4(X8, X3)	p4(a26, a47)	1
p3(X6, X0)	p3(a16, a30)	1
p6(X0, a4, X5, X1)	p6(a74, a4, a16, a0)	1
p3(X6, X0)	p3(a32, a86)	1
p4(X8, X3)	p4(a16, X5) :- p5(a10, X5)	1
p3(X7, X0)	p3(a0, a94)	1
p5(a10, a4)	p5(a10, a4)	1
p4(X3, a45)	p4(a55, X0) :- p3(X0, X9)	1
p8(X0)	p8(a14)	1
p3(X0, X8)	p3(a45, a93)	1
p6(X0, X3, X4, X1)	p6(a83, a83, a30, a25)	1
p3(X0, X7)	p3(a22, a5)	1
p4(X0, X3)	p4(a0, a65)	1
p7(X7)	p7(a63)	1
p4(X3, X7)	p4(a57, a99)	1
p5(X1, X0)	p5(a2, a48)	1
p4(X3, X7)	p4(a18, a48)	1
p4(X0, X2)	p4(a18, a48)	1
p3(X4, X0)	p3(a33, a33)	1
p3(X0, X8)	p3(a20, a22)	1
p0(X7)	p0(a2)	1
p6(X0, a0, X7, X1)	p6(a90, a0, a93, a1)	1
p4(X0, X3)	p4(a36, a52)	1
p4(X0, X9)	p4(a24, a74)	1
p3(X3, X0)	p3(a19, a17)	1
p4(X0, a13)	p4(a55, X0) :- p3(X0, X9)	1
p0(X6)	p0(a33)	1
p6(X4, X1, X1, a85)	p6(a36, X1, X1, a85) :- p7(X1)	1
p3(X0, X8)	p3(a16, a30)	1
p4(X0, X9)	p4(a15, a4)	1
p3(X3, X0)	p3(a95, a11)	1
p6(X0, a55, X1, X2)	p6(a36, X1, X1, a85) :- p7(X1)	1
p4(X8, X2)	p4(a57, a99)	1
p3(X4, X0)	p3(a19, a17)	1
p7(X5)	p7(a17)	1
p8(X0)	p8(a56)	1
p7(X7)	p7(a22)	1
p4(X0, a99)	p4(a57, a99)	1
p3(a48, X0)	p3(a48, a11)	1
p3(X5, X0)	p3(a0, a22)	1
p4(X0, X5)	p4(a10, a55)	1
p4(X0, a17)	p4(a55, X0) :- p3(X0, X9)	1
p4(X0, X1)	p4(a47, a35)	1
p7(X0)	p7(a55)	1
p6(X7, X0, X0, X0)	p6(a36, X1, X1, a85) :- p7(X1)	1
p0(X8)	p0(a6)	1
p0(X6)	p0(a51)	1
p0(X7)	p0(a96)	1
p3(X5, X0)	p3(a11, a36)	1
p2(X0)	p2(a38)	1
p4(X0, X1)	p4(a2, a13)	1
p4(X0, X7)	p4(a51, a20)	1
p3(X1, X0)	p3(a1, a18)	1
p4(X0, X7)	p4(a49, a95)	1
p0(X0)	p0(a96)	1
p4(X2, X4)	p4(a0, a0)	1
p6(X0, a4, X7, X1)	p6(a74, a4, a16, a0)	1
p4(X6, X9)	p4(a74, a1)	1
p3(X6, X0)	p3(a10, a13)	1
p3(X1, X0)	p3(a25, a48)	1
p7(a12)	p7(a12)	1
p3(X1, X0)	p3(a21, a79)	1
p4(X0, X8)	p4(a51, a7)	1
p4(X6, X9)	p4(a25, a32)	1
p3(a20, X0)	p3(a20, a22)	1
p0(X1)	p0(a17)	1
p8(X0)	p8(a0)	1
p3(X0, X3)	p3(a91, a66)	1
p5(a10, X7)	p5(a10, a2)	1
p3(X6, X0)	p3(a91, a66)	1
p4(X7, X5)	p4(a74, a1)	1
p7(X3)	p7(a24)	1
p3(X7, X0)	p3(a13, a19)	1
p3(X8, X0)	p3(a11, a36)	1
p6(X0, a7, X7, X1)	p6(a0, a7, a1, a33)	1
p3(X0, X1)	p3(a19, a17)	1
p4(X8, X3)	p4(a34, a74)	1
p7(X6)	p7(a27)	1
p3(X3, X0)	p3(a0, a22)	1
p3(X0, X7)	p3(a5, a14)	1
p4(X5, X6)	p4(a94, a57)	1
p3(a20, X0)	p3(a20, a39)	1
p3(X7, X0)	p3(a0, a47)	1
p5(a10, X7)	p5(a10, a4)	1
p3(a20, X6)	p3(a20, a22)	1
p4(X0, X3)	p4(a10, a11)	1
p3(X0, X7)	p3(a17, a82)	1
p7(X1)	p7(a98)	1
p4(X0, X4)	p4(a57, a99)	1
p0(X3)	p0(a2)	1
p4(X5, X6)	p4(a74, a1)	1
p4(X8, X3)	p4(a49, a95)	1
p2(X0)	p2(a98)	1
p6(X4, X3, a36, X0)	p6(a69, a1, a36, a61)	1
p3(X7, X0)	p3(a21, a79)	1
p6(X0, a0, X1, X2)	p6(a90, a0, a93, a1)	1
p3(a10, X6)	p3(a10, a1)	1
p3(X2, X0)	p3(a33, a19)	1
p7(a85)	p7(a85)	1
p4(X0, X9)	p4(a68, a10)	1
p3(X8, X0)	p3(a23, a45)	1
p4(X0, a49)	p4(a55, X0) :- p3(X0, X9)	1
p3(a33, X6)	p3(a33, a26)	1
p4(X6, X3)	p4(a25, a32)	1
p3(X0, X8)	p3(a0, a47)	1
p0(X3)	p0(a96)	1
p3(X9, X0)	p3(a16, a30)	1
p3(X9, X0)	p3(a90, a16)	1
p4(X8, X2)	p4(a51, a7)	1
p7(X5)	p7(a98)	1
p5(X1, X0)	p5(a31, a0)	1
p0(X8)	p0(a40)	1
p4(X0, X2)	p4(a10, a55)	1
p6(X0, a19, X1, a67)	p6(a10, a19, a62, a67)	1
p3(X3, X0)	p3(a23, a45)	1
p3(X9, X0)	p3(a20, a39)	1
p4(X0, X2)	p4(a51, a20)	1
p5(X1, X0)	p5(a86, a92)	1
p4(X2, X4)	p4(a57, a99)	1
p0(X6)	p0(a0)	1
p8(X0)	p8(a45)	1
p4(X0, X2)	p4(a55, X0) :- p3(X0, X9)	1
p3(X1, X0)	p3(a0, a71)	1
p7(X5)	p7(a53)	1
p4(X3, X7)	p4(a0, a65)	1
p4(X0, a4)	p4(a15, a4)	1
p2(X0)	p2(a96)	1
p4(X0, X5)	p4(a10, a11)	1
p4(X3, X7)	p4(a0, a61)	1
p4(X2, X4)	p4(a26, a47)	1
p8(X0)	p8(a13)	1
p4(X2, X4)	p4(a16, X5) :- p5(a10, X5)	1
p4(X0, a12)	p4(a55, X0) :- p3(X0, X9)	1
p4(X8, X2)	p4(a0, a0)	1
p4(X5, X6)	p4(a18, a48)	1
p4(X0, X5)	p4(a61, a49)	1
p3(X1, a0)	p3(a46, a0)	1
p4(X0, a7)	p4(a51, a7)	1
p4(X0, X1)	p4(a51, a20)	1
p3(X6, X0)	p3(a0, a71)	1
p3(X5, X0)	p3(a41, a45)	1
p3(X3, a0)	p3(a46, a0)	1
p4(X8, X2)	p4(a94, a57)	1
p5(X1, X0)	p5(a39, a1)	1
p3(a0, X0)	p3(a0, a0)	1
p4(X5, X6)	p4(a16, X5) :- p5(a10, X5)	1
p7(a23)	p7(a23)	1
p4(X8, X3)	p4(a46, a33)	1
p6(X1, a12, X0, X2)	p6(a13, a12, a55, a75)	1
p4(X0, a20)	p4(a55, X0) :- p3(X0, X9)	1
p0(X7)	p0(a77)	1
p4(X0, X7)	p4(a24, a74)	1
p4(X0, X7)	p4(a15, a4)	1
p5(X1, X0)	p5(a10, a2)	1
p0(X7)	p0(a1)	1
p6(X4, X3, a36, X0)	p6(a2, a0, a36, a58)	1
p0(X8)	p0(a55)	1
p3(X0, X3)	p3(a32, a86)	1
p4(X6, X3)	p4(a61, a49)	1
p4(X1, X0)	p4(a10, a55)	1
p3(X5, X0)	p3(a0, a47)	1
p7(X6)	p7(a51)	1
p3(X9, X0)	p3(a91, a66)	1
p4(X0, X3)	p4(a25, a32)	1
p3(X0, X8)	p3(a33, a19)	1
p8(a88)	p8(a88)	1
p7(X7)	p7(a53)	1
p4(X1, X0)	p4(a55, X0) :- p3(X0, X9)	1
p5(X1, X0)	p5(a10, a4)	1
p3(X0, X1)	p3(a98, a28)	1
p4(X1, X0)	p4(a68, a10)	1
p6(X0, X3, X4, X1)	p6(a24, a42, a0, a0)	1
p3(X9, X0)	p3(a11, a36)	1
p4(X0, X4)	p4(a0, a0)	1
p3(a21, X0)	p3(a21, a79)	1
p4(X0, X9)	p4(a0, a1)	1
p7(X0)	p7(a24)	1
p4(X8, X3)	p4(a24, a74)	1
p3(X4, X0)	p3(a20, a39)	1
p7(X6)	p7(a85)	1
p4(X8, X3)	p4(a15, a4)	1
p7(X5)	p7(a32)	1
p0(X3)	p0(a42)	1
p4(X0, X4)	p4(a94, a57)	1
p0(X0)	p0(a72)	1
p3(X1, X0)	p3(a15, a14)	1
p4(X0, X7)	p4(a0, a61)	1
p3(X3, X0)	p3(a33, a26)	1
p3(X2, X0)	p3(a21, a79)	1
p8(a19)	p8(a19)	1
p4(X3, X7)	p4(a10, a11)	1
p4(a55, X1)	p4(a55, X0) :- p3(X0, X9)	1
p6(X2, X3, X8, X0)	p6(a57, a38, a10, a10)	1
p7(X8)	p7(a17)	1
p3(X4, X0)	p3(a33, a26)	1
p3(X4, X0)	p3(a95, a11)	1
p0(X0)	p0(X7) :- p3(X8, X7), p8(X8)	1
p7(X5)	p7(a31)	1
p4(X3, X7)	p4(a61, a49)	1
p4(X8, X2)	p4(a85, a82)	1
p5(X1, X0)	p5(a27, a5)	1
p4(X6, X9)	p4(a55, X0) :- p3(X0, X9)	1
p4(X0, X2)	p4(a61, a49)	1
p3(X3, X0)	p3(a0, a47)	1
p4(X2, X4)	p4(a34, a74)	1
p7(a98)	p7(a98)	1
p4(X0, X5)	p4(a20, a47)	1
p0(X0)	p0(a21)	1
p0(X8)	p0(a2)	1
p4(X7, X5)	p4(a10, a55)	1
p4(X0, X5)	p4(a47, a35)	1
p3(X0, X7)	p3(a13, a19)	1
p3(X6, X0)	p3(a0, a0)	1
p3(X5, X0)	p3(a98, a4)	1
p3(X5, X0)	p3(a25, a48)	1
p3(X6, X0)	p3(a15, a14)	1
p4(X2, X4)	p4(a49, a95)	1
p0(X3)	p0(a1)	1
p4(X6, X9)	p4(a0, a61)	1
p4(X7, X5)	p4(a55, X0) :- p3(X0, X9)	1
p4(X0, X9)	p4(a57, a99)	1
p0(X0)	p0(a10)	1
p4(X0, X9)	p4(a18, a48)	1
p4(X0, X7)	p4(a68, a10)	1
p3(X7, X0)	p3(a12, a17)	1
p3(X3, X0)	p3(a49, a10)	1
p4(X0, X5)	p4(a26, a47)	1
p4(X0, a91)	p4(a55, X0) :- p3(X0, X9)	1
p3(X4, X0)	p3(a49, a10)	1
p4(X5, X6)	p4(a51, a20)	1
p3(X0, X7)	p3(a10, a1)	1
p4(X0, X2)	p4(a24, a81)	1
p4(X5, X6)	p4(a49, a95)	1
p4(X0, a0)	p4(a0, a0)	1
p6(X0, a0, X7, X1)	p6(a2, a0, a36, a58)	1
p7(X8)	p7(a51)	1
p0(X8)	p0(a17)	1
p3(X1, X0)	p3(a22, a5)	1
p3(X6, X0)	p3(a1, a18)	1
p4(a55, a19)	p4(a55, X0) :- p3(X0, X9)	1
p3(X0, X1)	p3(a95, a11)	1
p3(a0, X0)	p3(a0, a71)	1
p3(X8, X0)	p3(a32, a86)	1
p3(a80, X0)	p3(a80, a4)	1
p3(X0, X3)	p3(a21, a79)	1
p4(X1, X0)	p4(a34, a74)	1
p7(X5)	p7(a1)	1
p7(X3)	p7(a22)	1
p7(X7)	p7(a51)	1
p3(X0, a0)	p3(a46, a0)	1
p0(X1)	p0(a21)	1
p3(X0, X1)	p3(a48, a11)	1
p3(X3, X0)	p3(a98, a4)	1
p4(X0, X4)	p4(a85, a82)	1
p3(X4, X0)	p3(a98, a4)	1
p8(a33)	p8(a33)	1
p3(X6, X0)	p3(a22, a5)	1
p7(X8)	p7(a85)	1
p3(X3, X0)	p3(a32, a86)	1
p3(a10, X0)	p3(a10, a1)	1
p3(X2, X0)	p3(a0, a71)	1
p0(X6)	p0(a43)	1
p3(X0, X1)	p3(a88, a22)	1
p4(X0, X8)	p4(a0, a65)	1
p7(X1)	p7(a53)	1
p4(X0, X8)	p4(a26, a47)	1
p0(X1)	p0(a10)	1
p3(a49, X0)	p3(a49, a10)	1
p3(X5, X0)	p3(a48, a11)	1
p4(X0, X4)	p4(a30, a11)	1
p3(X0, X1)	p3(a49, a10)	1
p6(X1, a7, X0, X2)	p6(a99, a7, a0, a11)	1
p7(X7)	p7(a85)	1
p3(a10, X0)	p3(a10, a13)	1
p6(X0, a0, X1, X2)	p6(a22, a0, a34, a87)	1
p3(X9, X0)	p3(a41, a45)	1
p7(X0)	p7(a1)	1
p7(X0)	p7(a16)	1
p4(X0, X8)	p4(a36, a52)	1
p3(X5, X0)	p3(a88, a22)	1
p5(X1, X0)	p5(a34, a92)	1
p4(X0, X2)	p4(a20, a47)	1
p4(X2, X4)	p4(a46, a33)	1
p4(X1, X0)	p4(a24, a81)	1
p8(X0)	p8(a15)	1
p4(X8, X2)	p4(a34, a74)	1
p3(X0, X1)	p3(a0, a22)	1
p3(X0, X3)	p3(a45, a93)	1
p3(a5, X0)	p3(a5, a14)	1
p7(X1)	p7(a12)	1
p4(X6, X9)	p4(a61, a49)	1
p7(X0)	p7(a10)	1
p9(X0, a24)	p9(a7, a24)	1
p0(X6)	p0(a11)	1
p4(X8, X3)	p4(a47, a35)	1
p4(X0, X9)	p4(a51, a7)	1
p3(X4, X0)	p3(a0, a94)	1
p4(X5, X6)	p4(a46, a33)	1
p3(a1, X6)	p3(a1, a18)	1
p3(X7, X0)	p3(a95, a11)	1
p4(X0, X1)	p4(a10, a55)	1
p0(X3)	p0(a11)	1
p7(X5)	p7(a0)	1
p0(X0)	p0(a45)	1
p3(X0, X3)	p3(a0, a71)	1
p4(X0, X8)	p4(a2, a13)	1
p4(X7, X5)	p4(a61, a49)	1
p4(X0, X3)	p4(a10, a55)	1
p4(X8, X3)	p4(a2, a13)	1
p0(X0)	p0(a6)	1
p1(X0, X1, a41, a87, X0)	p1(a17, a86, a41, a87, a17)	1
p4(X8, X2)	p4(a0, a65)	1
p6(X0, a7, X1, X2)	p6(a99, a7, a0, a11)	1
p3(X5, X0)	p3(a12, a17)	1
p4(X0, X5)	p4(a51, a20)	1
p4(X0, X1)	p4(a30, a11)	1
p6(X0, X3, X4, X1)	p6(a74, a4, a16, a0)	1
p4(X0, a11)	p4(a10, a11)	1
p7(X3)	p7(a68)	1
p7(a16)	p7(a16)	1
p4(X0, X5)	p4(a49, a95)	1
p4(X0, X7)	p4(a0, a1)	1
p3(a33, X6)	p3(a33, a33)	1
p4(X0, X1)	p4(a68, a10)	1
p0(X8)	p0(a42)	1
p7(X5)	p7(a12)	1
p4(X0, X7)	p4(a0, a15)	1
p3(X9, X0)	p3(a0, a0)	1
p0(X0)	p0(a41)	1
p3(X9, X0)	p3(a15, a14)	1
p3(X0, X8)	p3(a95, a11)	1
p3(X6, X0)	p3(a5, a14)	1
p7(X8)	p7(a24)	1
p4(X2, X4)	p4(a15, a4)	1
p4(a55, X8)	p4(a55, X0) :- p3(X0, X9)	1
p5(X1, X0)	p5(a21, a0)	1
p6(X2, X3, X8, X0)	p6(a98, a0, a70, a2)	1
p4(X0, a47)	p4(a26, a47)	1
p4(X0, a41)	p4(a55, X0) :- p3(X0, X9)	1
p4(X8, X2)	p4(a12, a26)	1
p4(X0, a48)	p4(a18, a48)	1
p3(X6, X0)	p3(a17, a82)	1
p3(X0, X3)	p3(a17, a82)	1
p4(X7, X5)	p4(a24, a81)	1
p4(X0, a13)	p4(a2, a13)	1
p7(X0)	p7(a0)	1
p4(X0, X9)	p4(a94, a57)	1
p3(X7, X0)	p3(a5, a14)	1
p7(X6)	p7(a68)	1
p4(X5, X6)	p4(a24, a74)	1
p7(X0)	p7(a73)	1
p3(X8, X0)	p3(a22, a15)	1
p4(X1, X0)	p4(a20, a47)	1
p5(X1, X0)	p5(a34, a47)	1
p4(X0, X4)	p4(a34, a74)	1
p4(X5, X6)	p4(a15, a4)	1
p3(X0, X1)	p3(a20, a22)	1
p3(X0, X1)	p3(a0, a94)	1
p4(X1, X0)	p4(a47, a35)	1
p3(X5, X0)	p3(a45, a93)	1
p3(X9, X0)	p3(a1, a18)	1
p7(X1)	p7(a31)	1
p4(X0, X9)	p4(a25, a32)	1
p0(X1)	p0(a45)	1
p3(a90, X0)	p3(a90, a16)	1
p4(X0, a21)	p4(a55, X0) :- p3(X0, X9)	1
p4(X0, X7)	p4(a57, a99)	1
p3(X4, X0)	p3(a41, a45)	1
p4(X0, X7)	p4(a18, a48)	1
p3(X3, X0)	p3(a22, a15)	1
p4(X6, X9)	p4(a12, a26)	1
p4(X8, X2)	p4(a2, a13)	1
p3(X0, X8)	p3(a5, a14)	1
p7(X8)	p7(a32)	1
p3(X0, X7)	p3(a19, a17)	1
p6(X2, X3, X8, X0)	p6(a2, a64, a13, a0)	1
p4(X8, X2)	p4(a46, a33)	1
p0(X7)	p0(a40)	1
p0(X1)	p0(a41)	1
p4(X6, X9)	p4(a20, a47)	1
p3(X1, X0)	p3(a0, a94)	1
p2(X0)	p2(a64)	1
p3(X0, X8)	p3(a0, a22)	1
p3(X8, X0)	p3(a45, a93)	1
p6(X1, a1, a36, X0)	p6(a69, a1, a36, a61)	1
p4(X6, X9)	p4(a47, a35)	1
p7(X3)	p7(a27)	1
p4(X0, a19)	p4(a55, X0) :- p3(X0, X9)	1
p0(X0)	p0(a40)	1
p4(a0, X0)	p4(a0, a0)	1
p3(X2, X0)	p3(a22, a5)	1
p4(X0, X4)	p4(a12, a26)	1
p7(X1)	p7(a64)	1
p7(X0)	p7(a17)	1
p4(X7, X5)	p4(a20, a47)	1
p4(X8, X3)	p4(a57, a99)	1
p6(X0, a10, X1, X2)	p6(a17, a10, a21, a47)	1
p4(X0, X2)	p4(a0, a15)	1
p3(X8, X0)	p3(a0, a71)	1
p5(a10, X8)	p5(a10, a2)	1
p5(X1, X0)	p5(a92, a84)	1
p4(X7, X5)	p4(a68, a10)	1
p3(X6, X0)	p3(a11, a36)	1
p6(X0, a17, X1, X2)	p6(a36, X1, X1, a85) :- p7(X1)	1
p4(X3, X7)	p4(a94, a57)	1
p3(X0, X7)	p3(a21, a79)	1
p4(X8, X3)	p4(a51, a20)	1
p3(X8, X0)	p3(a5, a14)	1
p5(a10, X8)	p5(a10, a4)	1
p7(X5)	p7(a64)	1
p4(X5, X6)	p4(a68, a10)	1
p3(X8, X0)	p3(a17, a82)	1
p4(X0, X1)	p4(a0, a1)	1
p3(X9, X0)	p3(a48, a11)	1
p6(X0, a1, X1, X2)	p6(a69, a1, a36, a61)	1
p4(X0, X4)	p4(a2, a13)	1
p0(X8)	p0(a51)	1
p5(X1, X0)	p5(a0, a40)	1
p4(X6, X3)	p4(a47, a35)	1
p4(X0, X1)	p4(a0, a15)	1
p4(X0, a10)	p4(a55, X0) :- p3(X0, X9)	1
p3(X0, X1)	p3(a13, a19)	1
p4(X0, X1)	p4(a24, a74)	1
p7(X8)	p7(a1)	1
p3(X3, X0)	p3(a33, a33)	1
p7(X8)	p7(a16)	1
p3(X9, X0)	p3(a88, a22)	1
p4(X0, X4)	p4(a46, a33)	1
p8(a13)	p8(a13)	1
p4(X0, a55)	p4(a10, a55)	1
p7(a13)	p7(a13)	1
p7(X7)	p7(a68)	1
p3(X0, X1)	p3(a0, a47)	1
p5(a10, X1)	p5(a10, a2)	1
p3(X1, X0)	p3(a41, a45)	1
p4(X0, X1)	p4(a24, a81)	1
p6(X0, a64, X5, X1)	p6(a2, a64, a13, a0)	1
