goal	rule	score
visited(maggot, shire)	visited(maggot, shire)	1
visited(_EX1, I)	visited(bilbo, rivendell)	1
race(R2, I)	race(theoden, human)	1
visited(R, rivendell)	visited(elrond, rivendell)	1
visited(eomer, rohan)	visited(eomer, rohan)	1
visited(I, L)	visited(duinhir, gondor)	1
visited(L, iron_hills)	visited(dain, iron_hills)	1
race(R2, I)	race(arwen, elf)	1
visited(boromir, rivendell)	visited(boromir, rivendell)	1
companion(rosie, bilbo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(brealight, fangorn)	visited(brealight, fangorn)	1
visited(Z, rivendell)	visited(gloin, rivendell)	1
visited(I, rivendell)	visited(pippin, rivendell)	1
visited(_EX0, gondor)	visited(denethor, gondor)	1
visited(_EX1, I)	visited(haldir, lothlorien)	1
visited(_EX1, I)	visited(hamfast, shire)	1
race(I, dwarf)	race(gimli, dwarf)	1
visited(Y, gondor)	visited(derufin, gondor)	1
visited(X, rivendell)	visited(boromir, rivendell)	1
companion(Y, boromir)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Y, moria)	visited(sam, moria)	1
visited(_EX0, shire)	visited(rosie, shire)	1
visited(_EX1, moria)	visited(frodo, moria)	1
visited(_EX0, rivendell)	visited(gimli, rivendell)	1
visited(_EX0, I)	visited(gandalf, isengard)	1
visited(_EX1, I)	visited(elwing, rivendell)	1
visited(Z, I)	visited(frodo, mordor)	1
visited(Z, I)	visited(galadriel, lothlorien)	1
visited(L, I)	visited(elendil, gondor)	1
visited(Z, mordor)	visited(gorbag, mordor)	1
visited(_EX1, gondor)	visited(idril, gondor)	1
visited(R, ithilien)	visited(damrod, ithilien)	1
visited(L, I)	visited(sam, mordor)	1
visited(Z, isengard)	visited(gandalf, isengard)	1
race(bilbo, I)	race(bilbo, hobbit)	1
visited(Z, gondor)	visited(golasgil, gondor)	1
visited(I, L)	visited(thorin, erebor)	1
visited(L, I)	visited(legolas, moria)	1
visited(L, rivendell)	visited(pippin, rivendell)	1
visited(R1, fangorn)	visited(brealight, fangorn)	1
visited(R1, I)	visited(frodo, mordor)	1
visited(_EX1, I)	visited(beregond, gondor)	1
visited(Z, I)	visited(gamgee, shire)	1
visited(R1, I)	visited(galadriel, lothlorien)	1
visited(Y, I)	visited(gloin, rivendell)	1
race(_EX1, I)	race(sauron, maia)	1
visited(X, gondor)	visited(hirluin, gondor)	1
visited(_EX0, gondor)	visited(duinhir, gondor)	1
visited(R2, rivendell)	visited(elrond, rivendell)	1
companion(sam, gimli)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(L, shire)	visited(elfstan, shire)	1
visited(R2, I)	visited(quickbeam, fangorn)	1
visited(R, I)	visited(elfstan, shire)	1
visited(sauron, I)	visited(sauron, mordor)	1
visited(I, isengard)	visited(gandalf, isengard)	1
visited(bilbo, shire)	visited(bilbo, shire)	1
companion(aragorn, bilbo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Y, I)	visited(imrahil, gondor)	1
visited(X, I)	visited(glorfindel, rivendell)	1
visited(R, gondor)	visited(idril, gondor)	1
visited(I, L)	visited(beechbone, fangorn)	1
visited(L, I)	visited(pippin, rivendell)	1
visited(R2, rivendell)	visited(gloin, rivendell)	1
race(_EX1, I)	race(radagast, maia)	1
visited(_EX0, I)	visited(denethor, gondor)	1
race(X, I)	race(sauron, maia)	1
visited(X, moria)	visited(gandalf, moria)	1
visited(Z, shire)	visited(fastred, shire)	1
race(_EX1, I)	race(sam, hobbit)	1
visited(L, I)	visited(butterbur, bree)	1
visited(Y, I)	visited(isildur, gondor)	1
visited(I, fangorn)	visited(beechbone, fangorn)	1
visited(L, I)	visited(faramir, gondor)	1
visited(Y, I)	visited(anborn, ithilien)	1
visited(R2, I)	visited(goldberry, shire)	1
visited(Y, shire)	visited(gamgee, shire)	1
visited(Y, I)	visited(witch_king, mordor)	1
companion(elrond, aragorn)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R, I)	visited(theoden, rohan)	1
visited(L, gondor)	visited(duinhir, gondor)	1
visited(X, moria)	visited(sam, moria)	1
companion(aragorn, gloin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(L, I)	visited(bilbo, shire)	1
character(I)	character(theoden)	1
race(I, L)	race(sam, hobbit)	1
visited(L, fangorn)	visited(fimbthil, fangorn)	1
visited(L, I)	visited(shagrat, mordor)	1
character(I)	character(fosco)	1
visited(X, I)	visited(eomer, rohan)	1
visited(_EX0, shire)	visited(rose, shire)	1
visited(L, I)	visited(hama, rohan)	1
alignment(R1, good)	alignment(gandalf, good)	1
visited(I, L)	visited(elfstan, shire)	1
visited(gorbag, mordor)	visited(gorbag, mordor)	1
home(X, I)	home(glorfindel, rivendell)	1
visited(_EX1, mordor)	visited(gorbag, mordor)	1
visited(Y, mordor)	visited(gothmog, mordor)	1
visited(Y, I)	visited(gollum, moria)	1
race(aragorn, I)	race(aragorn, human)	1
visited(R1, moria)	visited(legolas, moria)	1
visited(R2, I)	visited(hama, rohan)	1
visited(hama, rohan)	visited(hama, rohan)	1
race(I, L)	race(pippin, hobbit)	1
visited(_EX0, shire)	visited(sam, shire)	1
visited(Y, I)	visited(fastred, shire)	1
visited(_EX1, gondor)	visited(golasgil, gondor)	1
visited(R1, mirkwood)	visited(thranduil, mirkwood)	1
visited(X, I)	visited(bilbo, shire)	1
visited(X, I)	visited(gollum, mordor)	1
visited(Y, I)	visited(duilin, gondor)	1
companion(aragorn, boromir)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(L, rivendell)	visited(gloin, rivendell)	1
visited(X, I)	visited(legolas, rivendell)	1
visited(Y, I)	visited(eowyn, rohan)	1
visited(Z, isengard)	visited(lurtz, isengard)	1
visited(L, I)	visited(earendil, rivendell)	1
visited(Z, rivendell)	visited(sam, rivendell)	1
visited(_EX1, lothlorien)	visited(celeborn, lothlorien)	1
visited(R1, moria)	visited(sam, moria)	1
visited(I, L)	visited(theoden, rohan)	1
visited(_EX0, I)	visited(celeborn, lothlorien)	1
character(I)	character(eomer)	1
visited(Y, moria)	visited(boromir, moria)	1
visited(Y, moria)	visited(balin, moria)	1
visited(_EX1, gondor)	visited(imrahil, gondor)	1
visited(R2, I)	visited(aragorn, moria)	1
enemy(frodo, I)	enemy(X, Y) :- alignment(X, good), alignment(Y, evil)	1
visited(R, mordor)	visited(isildur, mordor)	1
visited(merry, I)	visited(merry, moria)	1
visited(Z, moria)	visited(boromir, moria)	1
character(I)	character(hama)	1
visited(_EX0, I)	visited(elendil, gondor)	1
visited(Y, moria)	visited(merry, moria)	1
visited(damrod, ithilien)	visited(damrod, ithilien)	1
visited(anborn, ithilien)	visited(anborn, ithilien)	1
visited(R2, I)	visited(rose, shire)	1
visited(R, I)	visited(gandalf, isengard)	1
visited(L, I)	visited(treebeard, fangorn)	1
visited(X, I)	visited(isildur, mordor)	1
target(frodo)	target(X) :- carries(X, ring)	1
visited(Z, fangorn)	visited(finglas, fangorn)	1
visited(Z, moria)	visited(merry, moria)	1
companion(haldir, haldir)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX0, I)	visited(gamling, rohan)	1
visited(I, isengard)	visited(lurtz, isengard)	1
visited(_EX1, gondor)	visited(isildur, gondor)	1
visited(Y, I)	visited(gimli, moria)	1
visited(Z, moria)	visited(frodo, moria)	1
race(_EX1, I)	race(celeborn, elf)	1
visited(R1, shire)	visited(rosie, shire)	1
visited(_EX1, I)	visited(aragorn, moria)	1
race(balin, I)	race(balin, dwarf)	1
companion(sam, sam)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Y, shire)	visited(fastred, shire)	1
visited(Y, I)	visited(sam, rivendell)	1
visited(X, I)	visited(tuor, gondor)	1
visited(Z, rohan)	visited(ghân, rohan)	1
character(I)	character(imrahil)	1
companion(pippin, bilbo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX1, lothlorien)	visited(haldir, lothlorien)	1
companion(merry, gloin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
character(I)	character(drogo)	1
visited(R2, I)	visited(radagast, mirkwood)	1
visited(Y, rivendell)	visited(gandalf, rivendell)	1
visited(_EX1, I)	visited(rose, shire)	1
visited(L, I)	visited(mablung, ithilien)	1
companion(boromir, aragorn)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(L, rohan)	visited(eowyn, rohan)	1
visited(_EX0, I)	visited(pippin, rivendell)	1
visited(R1, I)	visited(celeborn, lothlorien)	1
visited(R2, rivendell)	visited(sam, rivendell)	1
visited(L, I)	visited(thranduil, mirkwood)	1
visited(I, L)	visited(boromir, rivendell)	1
visited(I, L)	visited(dervorin, gondor)	1
visited(R2, I)	visited(mablung, ithilien)	1
visited(denethor, gondor)	visited(denethor, gondor)	1
visited(R1, mordor)	visited(frodo, mordor)	1
visited(L, I)	visited(frodo, moria)	1
visited(R, rohan)	visited(ghân, rohan)	1
visited(_EX1, I)	visited(duilin, gondor)	1
visited(L, I)	visited(elwing, rivendell)	1
race(X, I)	race(merry, hobbit)	1
character(I)	character(dain)	1
visited(Y, gondor)	visited(beregond, gondor)	1
visited(L, shire)	visited(bilbo, shire)	1
race(I, human)	race(aragorn, human)	1
visited(L, gondor)	visited(derufin, gondor)	1
visited(R2, I)	visited(merry, moria)	1
visited(boromir, I)	visited(boromir, moria)	1
visited(_EX1, moria)	visited(pippin, moria)	1
visited(L, I)	visited(frodo, shire)	1
visited(_EX1, gondor)	visited(duinhir, gondor)	1
visited(X, moria)	visited(boromir, moria)	1
visited(R2, I)	visited(elanor, shire)	1
visited(R1, I)	visited(gamling, rohan)	1
visited(X, moria)	visited(balin, moria)	1
visited(_EX0, fangorn)	visited(leaflock, fangorn)	1
visited(leaflock, fangorn)	visited(leaflock, fangorn)	1
visited(L, I)	visited(goldilocks, shire)	1
visited(R1, I)	visited(boromir, moria)	1
visited(Y, I)	visited(merry, rivendell)	1
visited(R, erebor)	visited(thorin, erebor)	1
visited(bilbo, I)	visited(bilbo, shire)	1
visited(I, rivendell)	visited(sam, rivendell)	1
visited(X, shire)	visited(frodo, shire)	1
companion(bilbo, frodo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(I, L)	visited(goldberry, shire)	1
companion(derufin, I)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
home(X, I)	home(denethor, gondor)	1
visited(_EX0, I)	visited(hirluin, gondor)	1
armed(L)	armed(X) :- carries(X, I)	1
character(I)	character(saradoc)	1
companion(X, forlong)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Y, I)	visited(elladan, rivendell)	1
visited(Y, I)	visited(finglas, fangorn)	1
visited(gandalf, moria)	visited(gandalf, moria)	1
visited(elendil, gondor)	visited(elendil, gondor)	1
visited(_EX0, ithilien)	visited(anborn, ithilien)	1
home(R, gondor)	home(boromir, gondor)	1
visited(_EX1, rivendell)	visited(glorfindel, rivendell)	1
visited(_EX1, I)	visited(ghân, rohan)	1
companion(legolas, sam)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
race(X, I)	race(gimli, dwarf)	1
visited(I, moria)	visited(gandalf, moria)	1
companion(boromir, X)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(I, gondor)	visited(tuor, gondor)	1
visited(I, L)	visited(sauron, mordor)	1
companion(pippin, frodo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
character(I)	character(forlong)	1
companion(_EX0, frodo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R1, I)	visited(elfstan, shire)	1
visited(L, rivendell)	visited(sam, rivendell)	1
companion(aragorn, balin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R, I)	visited(lurtz, isengard)	1
visited(R1, moria)	visited(boromir, moria)	1
visited(R1, moria)	visited(balin, moria)	1
visited(Y, fangorn)	visited(treebeard, fangorn)	1
character(I)	character(erkenbrand)	1
visited(_EX0, mordor)	visited(frodo, mordor)	1
visited(_EX1, rivendell)	visited(elladan, rivendell)	1
visited(sam, shire)	visited(sam, shire)	1
visited(Z, fangorn)	visited(brealight, fangorn)	1
visited(L, I)	visited(gimli, rivendell)	1
visited(_EX0, I)	visited(treebeard, fangorn)	1
visited(_EX0, I)	visited(gloin, rivendell)	1
visited(L, gondor)	visited(dervorin, gondor)	1
visited(_EX0, I)	visited(radagast, mirkwood)	1
visited(Z, gondor)	visited(faramir, gondor)	1
visited(R, I)	visited(sam, mordor)	1
companion(frodo, I)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R, mordor)	visited(frodo, mordor)	1
mortal(sam)	mortal(X) :- race(X, hobbit)	1
visited(Z, mordor)	visited(frodo, mordor)	1
visited(I, rivendell)	visited(aragorn, rivendell)	1
mortal(eowyn)	mortal(X) :- race(X, human)	1
visited(R1, I)	visited(theoden, rohan)	1
carries(L, I)	carries(gandalf, glamdring)	1
visited(R, I)	visited(legolas, moria)	1
visited(I, L)	visited(aragorn, moria)	1
race(I, L)	race(arwen, elf)	1
visited(_EX0, I)	visited(maggot, shire)	1
visited(Y, rivendell)	visited(frodo, rivendell)	1
character(I)	character(porto)	1
visited(idril, gondor)	visited(idril, gondor)	1
visited(frodo, I)	visited(frodo, rivendell)	1
visited(I, gondor)	visited(isildur, gondor)	1
visited(R1, fangorn)	visited(fimbthil, fangorn)	1
visited(R1, shire)	visited(elfstan, shire)	1
visited(R, moria)	visited(aragorn, moria)	1
visited(R, shire)	visited(hamfast, shire)	1
race(R2, I)	race(merry, hobbit)	1
visited(R2, I)	visited(arwen, rivendell)	1
visited(_EX0, I)	visited(balin, moria)	1
visited(R, I)	visited(haldir, lothlorien)	1
visited(R1, gondor)	visited(idril, gondor)	1
home(R, rivendell)	home(elrond, rivendell)	1
visited(_EX0, I)	visited(thranduil, mirkwood)	1
visited(Y, I)	visited(elrond, rivendell)	1
diverse(R2, X)	diverse(X, Y) :- companion(X, Y), race(X, R1), race(Y, R2)	1
companion(gandalf, sam)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX0, I)	visited(anborn, ithilien)	1
visited(X, I)	visited(gamgee, shire)	1
visited(R, I)	visited(elladan, rivendell)	1
visited(R, I)	visited(finglas, fangorn)	1
visited(_EX0, rivendell)	visited(frodo, rivendell)	1
companion(thorin, thorin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX0, I)	visited(witch_king, mordor)	1
visited(faramir, I)	visited(faramir, gondor)	1
visited(I, shire)	visited(maggot, shire)	1
visited(_EX0, moria)	visited(gollum, moria)	1
visited(_EX1, mirkwood)	visited(thranduil, mirkwood)	1
race(I, L)	race(galadriel, elf)	1
visited(L, shire)	visited(frodo, shire)	1
visited(Z, moria)	visited(gollum, moria)	1
visited(X, I)	visited(saruman, isengard)	1
visited(Y, I)	visited(beechbone, fangorn)	1
visited(X, gondor)	visited(dervorin, gondor)	1
visited(_EX1, I)	visited(arwen, rivendell)	1
carries(frodo, ring)	carries(frodo, ring)	1
companion(frodo, balin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R1, rivendell)	visited(aragorn, rivendell)	1
visited(boromir, I)	visited(boromir, rivendell)	1
visited(L, gondor)	visited(denethor, gondor)	1
visited(Z, I)	visited(gandalf, isengard)	1
companion(gimli, pippin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R1, gondor)	visited(bergil, gondor)	1
race(I, L)	race(saruman, maia)	1
race(R2, I)	race(gimli, dwarf)	1
character(I)	character(lurtz)	1
visited(R1, I)	visited(glorfindel, rivendell)	1
visited(L, I)	visited(eomer, rohan)	1
visited(legolas, I)	visited(legolas, moria)	1
visited(Y, rivendell)	visited(elrohir, rivendell)	1
visited(_EX0, I)	visited(bergil, gondor)	1
visited(radagast, mirkwood)	visited(radagast, mirkwood)	1
visited(_EX1, rivendell)	visited(elrond, rivendell)	1
visited(_EX0, gondor)	visited(beregond, gondor)	1
character(I)	character(may)	1
visited(sam, I)	visited(sam, moria)	1
visited(I, L)	visited(gothmog, mordor)	1
visited(_EX1, fangorn)	visited(quickbeam, fangorn)	1
visited(_EX1, isengard)	visited(lurtz, isengard)	1
race(X, I)	race(aragorn, human)	1
visited(R1, I)	visited(gandalf, isengard)	1
visited(R2, I)	visited(fladrif, fangorn)	1
visited(I, L)	visited(merry, moria)	1
visited(I, L)	visited(elanor, shire)	1
visited(R2, I)	visited(aragorn, rivendell)	1
visited(R2, I)	visited(rosie, shire)	1
visited(R, moria)	visited(balin, moria)	1
alignment(I, evil)	alignment(sauron, evil)	1
visited(Y, gondor)	visited(duilin, gondor)	1
visited(R1, rohan)	visited(hama, rohan)	1
race(_EX1, I)	race(bilbo, hobbit)	1
visited(L, fangorn)	visited(quickbeam, fangorn)	1
companion(arwen, boromir)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R1, I)	visited(anborn, ithilien)	1
visited(R1, iron_hills)	visited(dain, iron_hills)	1
alignment(R2, good)	alignment(aragorn, good)	1
visited(_EX1, I)	visited(damrod, ithilien)	1
visited(Y, moria)	visited(aragorn, moria)	1
visited(L, I)	visited(golasgil, gondor)	1
visited(R, moria)	visited(merry, moria)	1
visited(R1, bree)	visited(butterbur, bree)	1
visited(_EX1, gondor)	visited(faramir, gondor)	1
character(I)	character(fili)	1
visited(_EX0, moria)	visited(gimli, moria)	1
visited(L, I)	visited(gollum, mordor)	1
companion(pippin, balin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
alignment(R1, good)	alignment(gimli, good)	1
visited(Z, moria)	visited(gimli, moria)	1
race(I, L)	race(rosie, hobbit)	1
visited(R1, mirkwood)	visited(radagast, mirkwood)	1
visited(_EX1, bree)	visited(butterbur, bree)	1
companion(merry, aragorn)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(I, ithilien)	visited(anborn, ithilien)	1
visited(_EX0, I)	visited(gimli, moria)	1
companion(frodo, X)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
character(I)	character(kili)	1
companion(merry, bilbo)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(_EX0, I)	visited(sam, rivendell)	1
alignment(X, good)	alignment(aragorn, good)	1
visited(L, I)	visited(isildur, mordor)	1
character(I)	character(hamfast)	1
visited(_EX0, I)	visited(lurtz, isengard)	1
visited(X, I)	visited(duinhir, gondor)	1
visited(R, I)	visited(gloin, rivendell)	1
alignment(R1, good)	alignment(pippin, good)	1
visited(X, mordor)	visited(shagrat, mordor)	1
race(gandalf, I)	race(gandalf, maia)	1
companion(rosie, sam)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
race(rosie, hobbit)	race(rosie, hobbit)	1
visited(Z, rivendell)	visited(boromir, rivendell)	1
race(I, L)	race(frodo, hobbit)	1
visited(R1, gondor)	visited(imrahil, gondor)	1
visited(R, rivendell)	visited(boromir, rivendell)	1
visited(R, rivendell)	visited(glorfindel, rivendell)	1
threat(frodo, I)	threat(X, Y) :- target(X), enemy(X, Y)	1
visited(goldilocks, shire)	visited(goldilocks, shire)	1
visited(Z, I)	visited(lurtz, isengard)	1
visited(erkenbrand, rohan)	visited(erkenbrand, rohan)	1
visited(R1, gondor)	visited(isildur, gondor)	1
visited(R, I)	visited(isildur, gondor)	1
companion(elrond, pippin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(Z, shire)	visited(goldberry, shire)	1
visited(thorin, erebor)	visited(thorin, erebor)	1
visited(R1, I)	visited(lurtz, isengard)	1
visited(X, gondor)	visited(duilin, gondor)	1
home(R, isengard)	home(saruman, isengard)	1
visited(I, moria)	visited(frodo, moria)	1
visited(Z, I)	visited(sam, mordor)	1
visited(_EX0, I)	visited(elladan, rivendell)	1
visited(_EX0, I)	visited(finglas, fangorn)	1
visited(X, I)	visited(gandalf, moria)	1
visited(I, L)	visited(imrahil, gondor)	1
visited(Z, I)	visited(legolas, moria)	1
visited(R2, rivendell)	visited(boromir, rivendell)	1
visited(Z, shire)	visited(bombadil, shire)	1
character(I)	character(maggot)	1
visited(X, I)	visited(fimbthil, fangorn)	1
companion(bilbo, gloin)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R, shire)	visited(fastred, shire)	1
visited(derufin, gondor)	visited(derufin, gondor)	1
race(_EX1, I)	race(haldir, elf)	1
race(I, L)	race(thranduil, elf)	1
visited(R, I)	visited(fastred, shire)	1
visited(_EX0, rivendell)	visited(gandalf, rivendell)	1
visited(X, rivendell)	visited(frodo, rivendell)	1
visited(gandalf, I)	visited(gandalf, isengard)	1
visited(Y, I)	visited(forlong, gondor)	1
visited(R1, rivendell)	visited(frodo, rivendell)	1
visited(Y, gondor)	visited(golasgil, gondor)	1
visited(Y, I)	visited(sam, moria)	1
visited(Z, I)	visited(haldir, lothlorien)	1
visited(I, L)	visited(damrod, ithilien)	1
visited(I, L)	visited(isildur, gondor)	1
visited(R, I)	visited(duilin, gondor)	1
visited(Y, I)	visited(pippin, rivendell)	1
visited(I, rivendell)	visited(elrohir, rivendell)	1
visited(R2, I)	visited(erkenbrand, rohan)	1
visited(X, gondor)	visited(idril, gondor)	1
visited(Y, I)	visited(goldberry, shire)	1
visited(R, I)	visited(eowyn, rohan)	1
companion(gandalf, gandalf)	companion(X, Y) :- visited(X, L), visited(Y, L)	1
visited(R1, erebor)	visited(thorin, erebor)	1
visited(R1, shire)	visited(goldilocks, shire)	1
race(R2, I)	race(boromir, human)	1
